GO	term_name
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004298	threonine-type endopeptidase activity
GO:0005839	proteasome core complex
GO:0051603	proteolysis involved in protein catabolic process
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004004	NA
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003954	NADH dehydrogenase activity
GO:0006310	DNA recombination
GO:0030127	COPII vesicle coat
GO:0008376	acetylgalactosaminyltransferase activity
GO:0032580	Golgi cisterna membrane
GO:0042256	cytosolic ribosome assembly
GO:0032958	inositol phosphate biosynthetic process
GO:0003678	DNA helicase activity
GO:0042555	MCM complex
GO:0008380	RNA splicing
GO:0008324	monoatomic cation transmembrane transporter activity
GO:0006741	NADP biosynthetic process
GO:0019674	NAD metabolic process
GO:0001522	pseudouridine synthesis
GO:0030515	snoRNA binding
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0006555	methionine metabolic process
GO:0017196	N-terminal peptidyl-methionine acetylation
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0031262	Ndc80 complex
GO:0051315	attachment of mitotic spindle microtubules to kinetochore
GO:0003909	DNA ligase activity
GO:0003910	DNA ligase (ATP) activity
GO:0051103	DNA ligation involved in DNA repair
GO:0071897	DNA biosynthetic process
GO:0003937	IMP cyclohydrolase activity
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004989	octopamine receptor activity
GO:0072546	EMC complex
GO:0005185	neurohypophyseal hormone activity
GO:0019236	response to pheromone
GO:0006397	mRNA processing
GO:0007009	plasma membrane organization
GO:0005763	mitochondrial small ribosomal subunit
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0006487	protein N-linked glycosylation
GO:0006488	dolichol-linked oligosaccharide biosynthetic process
GO:0004402	histone acetyltransferase activity
GO:0004175	endopeptidase activity
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0005875	microtubule associated complex
GO:0005750	mitochondrial respiratory chain complex III
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0044212	NA
GO:0008612	peptidyl-lysine modification to peptidyl-hypusine
GO:0019135	deoxyhypusine monooxygenase activity
GO:0016255	attachment of GPI anchor to protein
GO:0042765	GPI-anchor transamidase complex
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0004046	aminoacylase activity
GO:0070403	NAD+ binding
GO:0004056	argininosuccinate lyase activity
GO:0042450	arginine biosynthetic process via ornithine
GO:0005730	nucleolus
GO:0004831	tyrosine-tRNA ligase activity
GO:0006437	tyrosyl-tRNA aminoacylation
GO:0032486	Rap protein signal transduction
GO:0004540	RNA nuclease activity
GO:0043066	negative regulation of apoptotic process
GO:0032968	positive regulation of transcription elongation by RNA polymerase II
GO:0015232	heme transmembrane transporter activity
GO:0015886	heme transport
GO:0009143	nucleoside triphosphate catabolic process
GO:0047429	nucleoside triphosphate diphosphatase activity
GO:0016641	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0004647	NA
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0009214	cyclic nucleotide catabolic process
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0004844	uracil DNA N-glycosylase activity
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0004707	MAP kinase activity
GO:0000213	tRNA-intron endonuclease activity
GO:0000214	tRNA-intron endonuclease complex
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0006379	NA
GO:0052855	ADP-dependent NAD(P)H-hydrate dehydratase activity
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0004555	alpha,alpha-trehalase activity
GO:0005991	trehalose metabolic process
GO:0004363	glutathione synthase activity
GO:0000338	protein deneddylation
GO:0008180	COP9 signalosome
GO:0030880	RNA polymerase complex
GO:0002143	tRNA wobble position uridine thiolation
GO:0004792	thiosulfate sulfurtransferase activity
GO:0000245	spliceosomal complex assembly
GO:0004517	nitric-oxide synthase activity
GO:0006809	nitric oxide biosynthetic process
GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity
GO:0008201	heparin binding
GO:0050750	low-density lipoprotein particle receptor binding
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0006744	ubiquinone biosynthetic process
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0017108	5'-flap endonuclease activity
GO:0033557	Slx1-Slx4 complex
GO:0000154	rRNA modification
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0006364	rRNA processing
GO:0008649	rRNA methyltransferase activity
GO:0004819	glutamine-tRNA ligase activity
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0004017	adenylate kinase activity
GO:1901642	nucleoside transmembrane transport
GO:0005337	nucleoside transmembrane transporter activity
GO:0016805	dipeptidase activity
GO:0042246	tissue regeneration
GO:0016602	CCAAT-binding factor complex
GO:0051260	protein homooligomerization
GO:0006334	nucleosome assembly
GO:0019722	calcium-mediated signaling
GO:0048038	quinone binding
GO:0038023	signaling receptor activity
GO:0043235	receptor complex
GO:0006482	protein demethylation
GO:0051723	protein methylesterase activity
GO:0003684	damaged DNA binding
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0030688	preribosome, small subunit precursor
GO:0032549	ribonucleoside binding
GO:0008418	protein-N-terminal asparagine amidohydrolase activity
GO:0019904	protein domain specific binding
GO:0032266	phosphatidylinositol-3-phosphate binding
GO:0043130	ubiquitin binding
GO:0034227	tRNA thio-modification
GO:0006450	regulation of translational fidelity
GO:0004176	ATP-dependent peptidase activity
GO:0004334	fumarylacetoacetase activity
GO:0009072	aromatic amino acid metabolic process
GO:0032324	molybdopterin cofactor biosynthetic process
GO:0003896	DNA primase activity
GO:0006269	DNA replication, synthesis of RNA primer
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030132	clathrin coat of coated pit
GO:0032051	clathrin light chain binding
GO:0071439	clathrin complex
GO:0004756	selenide, water dikinase activity
GO:0016260	selenocysteine biosynthetic process
GO:0004505	phenylalanine 4-monooxygenase activity
GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
GO:0005672	transcription factor TFIIA complex
GO:0005199	structural constituent of cell wall
GO:0007016	NA
GO:0016010	dystrophin-associated glycoprotein complex
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0000723	telomere maintenance
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0042162	telomeric DNA binding
GO:0043564	Ku70:Ku80 complex
GO:0031012	extracellular matrix
GO:0019318	hexose metabolic process
GO:0006891	intra-Golgi vesicle-mediated transport
GO:0017119	Golgi transport complex
GO:0017174	glycine N-methyltransferase activity
GO:0004576	oligosaccharyl transferase activity
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0031251	PAN complex
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0006099	tricarboxylic acid cycle
GO:0045252	oxoglutarate dehydrogenase complex
GO:0004335	galactokinase activity
GO:0005534	galactose binding
GO:0006012	galactose metabolic process
GO:0046835	carbohydrate phosphorylation
GO:0001726	ruffle
GO:0005925	focal adhesion
GO:0051015	actin filament binding
GO:0006913	nucleocytoplasmic transport
GO:0017056	structural constituent of nuclear pore
GO:0016846	carbon-sulfur lyase activity
GO:0008276	protein methyltransferase activity
GO:0009168	purine ribonucleoside monophosphate biosynthetic process
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0030896	checkpoint clamp complex
GO:0008239	dipeptidyl-peptidase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
GO:0051499	D-aminoacyl-tRNA deacylase activity
GO:0032007	negative regulation of TOR signaling
GO:0048011	neurotrophin TRK receptor signaling pathway
GO:0019008	molybdopterin synthase complex
GO:0042754	negative regulation of circadian rhythm
GO:0038166	angiotensin-activated signaling pathway
GO:0006333	NA
GO:0031071	cysteine desulfurase activity
GO:0044571	[2Fe-2S] cluster assembly
GO:0005092	GDP-dissociation inhibitor activity
GO:0000150	DNA strand exchange activity
GO:0008176	tRNA (guanine-N7-)-methyltransferase activity
GO:0004879	nuclear receptor activity
GO:0004829	threonine-tRNA ligase activity
GO:0006435	threonyl-tRNA aminoacylation
GO:0004649	poly(ADP-ribose) glycohydrolase activity
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0006633	fatty acid biosynthetic process
GO:0050080	malonyl-CoA decarboxylase activity
GO:0000062	fatty-acyl-CoA binding
GO:0004619	phosphoglycerate mutase activity
GO:0016868	intramolecular transferase activity, phosphotransferases
GO:0016785	selenotransferase activity
GO:0097056	NA
GO:0004689	phosphorylase kinase activity
GO:0005964	phosphorylase kinase complex
GO:0005978	glycogen biosynthetic process
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0008184	glycogen phosphorylase activity
GO:0004096	catalase activity
GO:0042744	hydrogen peroxide catabolic process
GO:0016310	phosphorylation
GO:0005184	neuropeptide hormone activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0006177	GMP biosynthetic process
GO:0016462	pyrophosphatase activity
GO:0008409	5'-3' exonuclease activity
GO:0004057	arginyl-tRNA--protein transferase activity
GO:0016598	protein arginylation
GO:0006596	polyamine biosynthetic process
GO:0001784	phosphotyrosine residue binding
GO:0001678	intracellular glucose homeostasis
GO:0004396	hexokinase activity
GO:0005536	glucose binding
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0009435	NAD biosynthetic process
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0004067	asparaginase activity
GO:0070176	DRM complex
GO:0003729	mRNA binding
GO:0005685	U1 snRNP
GO:0006376	mRNA splice site recognition
GO:0004815	aspartate-tRNA ligase activity
GO:0006422	aspartyl-tRNA aminoacylation
GO:0008305	integrin complex
GO:0032482	Rab protein signal transduction
GO:0007517	muscle organ development
GO:0006446	regulation of translational initiation
GO:0005388	P-type calcium transporter activity
GO:0004663	Rab geranylgeranyltransferase activity
GO:0018344	protein geranylgeranylation
GO:0009451	RNA modification
GO:0009982	pseudouridine synthase activity
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0004356	glutamine synthetase activity
GO:0006542	glutamine biosynthetic process
GO:0008241	peptidyl-dipeptidase activity
GO:0033743	peptide-methionine (R)-S-oxide reductase activity
GO:0090730	Las1 complex
GO:0004152	dihydroorotate dehydrogenase activity
GO:0006222	UMP biosynthetic process
GO:0000030	mannosyltransferase activity
GO:0006493	protein O-linked glycosylation
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
GO:0005992	trehalose biosynthetic process
GO:0006069	ethanol oxidation
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity
GO:0004459	L-lactate dehydrogenase activity
GO:0019752	carboxylic acid metabolic process
GO:1901135	carbohydrate derivative metabolic process
GO:1901137	carbohydrate derivative biosynthetic process
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0097367	carbohydrate derivative binding
GO:0016831	carboxy-lyase activity
GO:0004825	methionine-tRNA ligase activity
GO:0006431	methionyl-tRNA aminoacylation
GO:0051321	meiotic cell cycle
GO:0046658	NA
GO:0062023	collagen-containing extracellular matrix
GO:0017136	NAD-dependent histone deacetylase activity
GO:0004683	calmodulin-dependent protein kinase activity
GO:0004423	iduronate-2-sulfatase activity
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005871	kinesin complex
GO:0009968	negative regulation of signal transduction
GO:0035076	ecdysone receptor-mediated signaling pathway
GO:0035100	ecdysone binding
GO:0004609	phosphatidylserine decarboxylase activity
GO:0015934	large ribosomal subunit
GO:0004994	somatostatin receptor activity
GO:0005666	RNA polymerase III complex
GO:0004129	cytochrome-c oxidase activity
GO:0005740	mitochondrial envelope
GO:0008094	ATP-dependent activity, acting on DNA
GO:0004386	helicase activity
GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint
GO:0004800	thyroxine 5'-deiodinase activity
GO:0003785	actin monomer binding
GO:0007015	actin filament organization
GO:0004692	cGMP-dependent protein kinase activity
GO:0005868	cytoplasmic dynein complex
GO:0008092	cytoskeletal protein binding
GO:0070273	phosphatidylinositol-4-phosphate binding
GO:0004484	mRNA guanylyltransferase activity
GO:0004651	polynucleotide 5'-phosphatase activity
GO:0006370	7-methylguanosine mRNA capping
GO:0006098	pentose-phosphate shunt
GO:0017057	6-phosphogluconolactonase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0006368	transcription elongation by RNA polymerase II
GO:0008023	transcription elongation factor complex
GO:0005787	signal peptidase complex
GO:0006465	signal peptide processing
GO:0044548	S100 protein binding
GO:0003870	5-aminolevulinate synthase activity
GO:0033014	tetrapyrrole biosynthetic process
GO:0004061	arylformamidase activity
GO:0019441	tryptophan catabolic process to kynurenine
GO:0005746	mitochondrial respirasome
GO:0007094	mitotic spindle assembly checkpoint signaling
GO:0019205	nucleobase-containing compound kinase activity
GO:0009056	catabolic process
GO:0017150	tRNA dihydrouridine synthase activity
GO:0030215	semaphorin receptor binding
GO:0016485	protein processing
GO:0000776	kinetochore
GO:0034508	centromere complex assembly
GO:0005759	mitochondrial matrix
GO:0005545	1-phosphatidylinositol binding
GO:0030136	clathrin-coated vesicle
GO:0030276	clathrin binding
GO:0048268	clathrin coat assembly
GO:0004869	cysteine-type endopeptidase inhibitor activity
GO:0004767	sphingomyelin phosphodiesterase activity
GO:0006685	sphingomyelin catabolic process
GO:0006986	response to unfolded protein
GO:0032217	riboflavin transmembrane transporter activity
GO:0032218	riboflavin transport
GO:0004372	glycine hydroxymethyltransferase activity
GO:0019264	glycine biosynthetic process from serine
GO:0035999	tetrahydrofolate interconversion
GO:0009166	nucleotide catabolic process
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0033596	TSC1-TSC2 complex
GO:0043547	positive regulation of GTPase activity
GO:0008190	eukaryotic initiation factor 4E binding
GO:0045947	negative regulation of translational initiation
GO:0042773	ATP synthesis coupled electron transport
GO:0008449	N-acetylglucosamine-6-sulfatase activity
GO:0030203	glycosaminoglycan metabolic process
GO:0008705	methionine synthase activity
GO:0031419	cobalamin binding
GO:0042558	pteridine-containing compound metabolic process
GO:0005747	mitochondrial respiratory chain complex I
GO:0022904	respiratory electron transport chain
GO:0004140	dephospho-CoA kinase activity
GO:0015937	coenzyme A biosynthetic process
GO:0003997	acyl-CoA oxidase activity
GO:0005777	peroxisome
GO:0006631	fatty acid metabolic process
GO:0006635	fatty acid beta-oxidation
GO:0019901	protein kinase binding
GO:0071704	organic substance metabolic process
GO:0004587	ornithine-oxo-acid transaminase activity
GO:0005049	nuclear export signal receptor activity
GO:0017025	TBP-class protein binding
GO:0070897	transcription preinitiation complex assembly
GO:0004806	triglyceride lipase activity
GO:0006302	double-strand break repair
GO:0030870	Mre11 complex
GO:0006522	alanine metabolic process
GO:0008784	alanine racemase activity
GO:0006518	peptide metabolic process
GO:0005760	gamma DNA polymerase complex
GO:0004312	fatty acid synthase activity
GO:0031177	phosphopantetheine binding
GO:0019310	inositol catabolic process
GO:0050113	inositol oxygenase activity
GO:0004827	proline-tRNA ligase activity
GO:0006433	prolyl-tRNA aminoacylation
GO:0018064	protein-L-histidine N-tele-methyltransferase activity
GO:0030047	actin modification
GO:0008312	7S RNA binding
GO:0048500	signal recognition particle
GO:0000439	transcription factor TFIIH core complex
GO:0019781	NEDD8 activating enzyme activity
GO:0045116	protein neddylation
GO:0004531	deoxyribonuclease II activity
GO:0043461	proton-transporting ATP synthase complex assembly
GO:0006825	copper ion transport
GO:0006878	intracellular copper ion homeostasis
GO:0008535	respiratory chain complex IV assembly
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0032049	cardiolipin biosynthetic process
GO:0001518	voltage-gated sodium channel complex
GO:0005248	voltage-gated sodium channel activity
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
GO:0009045	xylose isomerase activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0006147	guanine catabolic process
GO:0008892	guanine deaminase activity
GO:0032040	small-subunit processome
GO:0004385	guanylate kinase activity
GO:0006163	purine nucleotide metabolic process
GO:0031965	nuclear membrane
GO:0008556	P-type potassium transmembrane transporter activity
GO:0004127	cytidylate kinase activity
GO:0009041	UMP/dUMP kinase activity
GO:0035329	hippo signaling
GO:0001510	RNA methylation
GO:0016422	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0004801	transaldolase activity
GO:0007021	tubulin complex assembly
GO:0007023	post-chaperonin tubulin folding pathway
GO:0048487	beta-tubulin binding
GO:0016763	pentosyltransferase activity
GO:0016043	cellular component organization
GO:0017048	NA
GO:0008242	omega peptidase activity
GO:0005996	monosaccharide metabolic process
GO:0048029	monosaccharide binding
GO:0007029	endoplasmic reticulum organization
GO:0005047	signal recognition particle binding
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0030942	endoplasmic reticulum signal peptide binding
GO:0031011	Ino80 complex
GO:0031032	actomyosin structure organization
GO:0000145	exocyst
GO:0006887	exocytosis
GO:0000228	nuclear chromosome
GO:0006338	chromatin remodeling
GO:0042073	intraciliary transport
GO:0000796	condensin complex
GO:0007076	mitotic chromosome condensation
GO:0005885	Arp2/3 protein complex
GO:0030041	actin filament polymerization
GO:0030833	regulation of actin filament polymerization
GO:0034314	Arp2/3 complex-mediated actin nucleation
GO:0004749	ribose phosphate diphosphokinase activity
GO:0009165	nucleotide biosynthetic process
GO:0010826	negative regulation of centrosome duplication
GO:0036038	MKS complex
GO:0060271	cilium assembly
GO:0043486	NA
GO:0018193	peptidyl-amino acid modification
GO:0004422	hypoxanthine phosphoribosyltransferase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0004047	aminomethyltransferase activity
GO:0006546	glycine catabolic process
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity
GO:0009450	gamma-aminobutyric acid catabolic process
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0008171	O-methyltransferase activity
GO:0003747	translation release factor activity
GO:0006415	translational termination
GO:0006974	DNA damage response
GO:0048478	NA
GO:0008565	NA
GO:0017121	plasma membrane phospholipid scrambling
GO:0017128	phospholipid scramblase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0006006	glucose metabolic process
GO:0005861	troponin complex
GO:0035145	exon-exon junction complex
GO:0023041	neuronal signal transduction
GO:0030867	rough endoplasmic reticulum membrane
GO:0004478	methionine adenosyltransferase activity
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0005815	microtubule organizing center
GO:0004757	sepiapterin reductase activity
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0016706	2-oxoglutarate-dependent dioxygenase activity
GO:0017110	nucleoside diphosphate phosphatase activity
GO:0008093	cytoskeletal anchor activity
GO:0070840	dynein complex binding
GO:0009411	response to UV
GO:0008320	protein transmembrane transporter activity
GO:0008537	proteasome activator complex
GO:0018279	protein N-linked glycosylation via asparagine
GO:0004743	pyruvate kinase activity
GO:0030955	potassium ion binding
GO:0006206	pyrimidine nucleobase metabolic process
GO:0006213	pyrimidine nucleoside metabolic process
GO:0016154	pyrimidine-nucleoside phosphorylase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0006285	base-excision repair, AP site formation
GO:0004122	cystathionine beta-synthase activity
GO:0006535	cysteine biosynthetic process from serine
GO:0019343	cysteine biosynthetic process via cystathionine
GO:0004850	uridine phosphorylase activity
GO:0090114	COPII-coated vesicle budding
GO:0051028	mRNA transport
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0005523	tropomyosin binding
GO:0051694	pointed-end actin filament capping
GO:0043248	proteasome assembly
GO:0031144	proteasome localization
GO:0071630	nuclear protein quality control by the ubiquitin-proteasome system
GO:0070567	cytidylyltransferase activity
GO:0015036	disulfide oxidoreductase activity
GO:0034061	DNA polymerase activity
GO:0016153	urocanate hydratase activity
GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
GO:0000724	double-strand break repair via homologous recombination
GO:0046907	intracellular transport
GO:0019428	allantoin biosynthetic process
GO:0005112	Notch binding
GO:0018996	molting cycle, collagen and cuticulin-based cuticle
GO:0006044	N-acetylglucosamine metabolic process
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
GO:0004012	NA
GO:0045048	protein insertion into ER membrane
GO:0016428	tRNA (cytosine-5-)-methyltransferase activity
GO:0003690	double-stranded DNA binding
GO:0000012	single strand break repair
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0032422	purine-rich negative regulatory element binding
GO:0051920	peroxiredoxin activity
GO:0045329	carnitine biosynthetic process
GO:0050353	trimethyllysine dioxygenase activity
GO:0007218	neuropeptide signaling pathway
GO:0004832	valine-tRNA ligase activity
GO:0006438	valyl-tRNA aminoacylation
GO:0004163	diphosphomevalonate decarboxylase activity
GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway
GO:0004560	alpha-L-fucosidase activity
GO:0006004	fucose metabolic process
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0015936	coenzyme A metabolic process
GO:0004482	mRNA (guanine-N7-)-methyltransferase activity
GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity
GO:0101030	tRNA-guanine transglycosylation
GO:0051018	protein kinase A binding
GO:0060828	regulation of canonical Wnt signaling pathway
GO:0030906	retromer, cargo-selective complex
GO:0042147	retrograde transport, endosome to Golgi
GO:0030729	acetoacetate-CoA ligase activity
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0015377	chloride:monoatomic cation symporter activity
GO:0004809	tRNA (guanine-N2-)-methyltransferase activity
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0003688	DNA replication origin binding
GO:0016570	histone modification
GO:0016593	Cdc73/Paf1 complex
GO:0000445	THO complex part of transcription export complex
GO:1901031	regulation of response to reactive oxygen species
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0006751	glutathione catabolic process
GO:0004736	pyruvate carboxylase activity
GO:0006090	pyruvate metabolic process
GO:0009374	biotin binding
GO:0004535	poly(A)-specific ribonuclease activity
GO:0006879	intracellular iron ion homeostasis
GO:0008199	ferric iron binding
GO:0032366	intracellular sterol transport
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0005960	glycine cleavage complex
GO:0019464	glycine decarboxylation via glycine cleavage system
GO:0080009	mRNA methylation
GO:1990380	K48-linked deubiquitinase activity
GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly
GO:0004594	pantothenate kinase activity
GO:0010387	COP9 signalosome assembly
GO:0006309	apoptotic DNA fragmentation
GO:0031110	regulation of microtubule polymerization or depolymerization
GO:0016817	hydrolase activity, acting on acid anhydrides
GO:0006680	glucosylceramide catabolic process
GO:0004333	fumarate hydratase activity
GO:0006106	fumarate metabolic process
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0034464	BBSome
GO:0004550	nucleoside diphosphate kinase activity
GO:0006165	NA
GO:0006183	GTP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0033499	galactose catabolic process via UDP-galactose
GO:0006955	immune response
GO:0030247	polysaccharide binding
GO:0005245	voltage-gated calcium channel activity
GO:0005891	voltage-gated calcium channel complex
GO:0070588	calcium ion transmembrane transport
GO:0008430	selenium binding
GO:0042128	nitrate assimilation
GO:0042393	histone binding
GO:0031083	BLOC-1 complex
GO:0030126	COPI vesicle coat
GO:0004857	enzyme inhibitor activity
GO:0006084	acetyl-CoA metabolic process
GO:0019211	phosphatase activator activity
GO:19904	NA
GO:0008053	mitochondrial fusion
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003968	RNA-dependent RNA polymerase activity
GO:0019012	NA
GO:0004383	guanylate cyclase activity
GO:0006182	cGMP biosynthetic process
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0009019	tRNA (guanine-N1-)-methyltransferase activity
GO:0004833	tryptophan 2,3-dioxygenase activity
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0004631	phosphomevalonate kinase activity
GO:0006695	cholesterol biosynthetic process
GO:0004852	uroporphyrinogen-III synthase activity
GO:0004615	phosphomannomutase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0015321	NA
GO:0044341	sodium-dependent phosphate transport
GO:0004655	porphobilinogen synthase activity
GO:0005764	lysosome
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex
GO:0007283	spermatogenesis
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0030686	90S preribosome
GO:0005762	mitochondrial large ribosomal subunit
GO:0032543	mitochondrial translation
GO:0006621	protein retention in ER lumen
GO:0046923	ER retention sequence binding
GO:0006172	ADP biosynthetic process
GO:0004427	inorganic diphosphate phosphatase activity
GO:0006796	phosphate-containing compound metabolic process
GO:0050220	prostaglandin-E synthase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004135	amylo-alpha-1,6-glucosidase activity
GO:0005788	endoplasmic reticulum lumen
GO:0009306	protein secretion
GO:0006996	organelle organization
GO:0004325	ferrochelatase activity
GO:0006783	heme biosynthetic process
GO:0004462	lactoylglutathione lyase activity
GO:0004830	tryptophan-tRNA ligase activity
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0019700	organic phosphonate catabolic process
GO:0047304	2-aminoethylphosphonate-pyruvate transaminase activity
GO:0043065	positive regulation of apoptotic process
GO:0005785	signal recognition particle receptor complex
GO:0030148	sphingolipid biosynthetic process
GO:0042284	sphingolipid delta-4 desaturase activity
GO:0007005	mitochondrion organization
GO:0031305	NA
GO:0004449	isocitrate dehydrogenase (NAD+) activity
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0004715	non-membrane spanning protein tyrosine kinase activity
GO:0043231	intracellular membrane-bounded organelle
GO:0004618	phosphoglycerate kinase activity
GO:0031966	mitochondrial membrane
GO:0004630	phospholipase D activity
GO:0006654	phosphatidic acid biosynthetic process
GO:0048017	NA
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0004652	NA
GO:0031123	RNA 3'-end processing
GO:0043631	NA
GO:0005315	inorganic phosphate transmembrane transporter activity
GO:0006817	phosphate ion transport
GO:0016500	protein-hormone receptor activity
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0008113	peptide-methionine (S)-S-oxide reductase activity
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0006529	asparagine biosynthetic process
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0008076	voltage-gated potassium channel complex
